#--- Do not edit. Generated automatically from SndRcv ---
#Time_sec,Time_min,Time_hour,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12
Time_sec,Time,Time_hour,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12
19471,324.516666666667,5.40861111111111,26599965,47907685,93421990,100016789,93885015,89310143,19158991,54962934,98107810,97160755,104384677,126655922,26362931,38713254,85297657,86180758,88859413,75904737,4658092,22940108,97633663,104384677,103894376,56012865,22720738,37565153,81814038,92040306,93885015,85297657,6451013,28536236,90215284,106854902,107352696,75904737,22069214,18366732,16647564,16834257,13471039,0,3161363,2349244,955302,286550,42025,48,9492534,15730277,16834257,17591834,17210883,15192824,27317729,36155590,86624141,92499636,99059819,14839894,14491255,10058079,14491255,15911580,17400817,15550051,10202098,24506517,74669292,98583195,104384677,14146904,25658477,17977115,15550051,12975355,14146904,12489264,8809248,15730277,45669725,101945631,100978725,10347171,20173793,22502465,31315148,25425874,20795759,48,3655996,1835189,1282746,310653,51523,48
20371,339.516666666667,5.65861111111111,27317729,47584507,97633663,105369021,98583195,94349274,19561645,54268839,101945631,102430950,111380135,131613929,28783279,38424522,90669696,91582206,94349274,80955304,4658092,22720738,101945631,109356387,108853586,57073358,24279438,39586286,88409909,99059819,100016789,91582206,6565770,30035234,94349274,112911133,112911133,85738596,24279438,19764604,22940108,18760689,15015822,0,3082477,2349244,999102,286550,33495,48,9492534,15370900,16647564,17591834,17210883,15192824,28783279,36435233,89310143,96689085,103405322,14665038,15015822,10202098,14491255,15550051,17210883,15550051,10640484,24963985,77151043,103405322,109356387,13806833,27317729,19158991,16277416,12812260,13976334,12650230,9216070,16834257,46941623,108352037,106854902,9915114,21215866,24053463,33421369,28536236,24053463,48,3741994,1895933,1333501,335735,61990,48
21271,354.51666666666705,5.90861111111111,27559205,46621916,100497136,108853586,102430950,98583195,19764604,52554070,102430950,106358359,118096331,136675654,29782608,37280970,94349274,95281493,98583195,87961631,4466694,21854234,103405322,111889211,112911133,60684833,25425874,39586286,92499636,102917513,105369021,97160755,6681564,31056925,95281493,116527524,117049196,93421990,25425874,20795759,18760689,20173793,16461950,0,3082477,2418025,999102,286550,33495,48,8943807,15015822,16277416,17400817,17400817,15370900,29280711,36435233,90215284,99059819,108352037,14318544,15015822,10493300,14146904,15015822,16834257,15370900,10938021,24734699,77151043,106358359,114970080,13471039,27559205,19764604,16461950,12650230,13638402,12489264,9216070,17783933,46621916,111889211,112399543,9492534,22502465,26362931,37850472,30799822,28536236,0,3655996,1895933,1333501,335735,61990,48
22171,369.51666666666705,6.15861111111111,27801793,46621916,105863066,114453454,107851741,106358359,19968653,51203267,110365751,114453454,126111415,141841564,32888066,37280970,100497136,100497136,104384677,94349274,4466694,21854234,108352037,117572132,119148524,66709279,27559205,41363169,99059819,109356387,111889211,104384677,6916263,32359265,100497136,123407975,124485534,105369021,27317729,21854234,19968653,21854234,17783933,0,3241263,2418025,999102,310653,33495,48,9353777,14839894,16277416,17591834,17591834,15550051,31315148,37280970,92499636,107851741,115487967,14146904,15730277,10493300,13976334,15192824,17022029,15370900,11545792,25658477,79252404,112911133,123407975,13139517,29531101,21005266,17210883,12650230,13471039,12329363,9632342,18760689,48557516,119148524,120736307,9079414,24279438,27801793,39586286,34774355,31834961,48,3741994,1957679,1385251,361796,61990,48
23071,384.51666666666705,6.40861111111111,28290308,46303364,110872315,120205779,114453454,114453454,20173793,49540959,117049196,121268103,131613929,148297622,35599701,37850472,106358359,106358359,110365751,102430950,4561881,21854234,112911133,124485534,128297096,72634305,29782608,43488293,105863066,116527524,118096331,111889211,7155115,33689710,104876225,130503203,134413163,119676518,29031437,23160578,21005266,23382148,19359774,0,3322178,2487814,1043893,310653,33495,48,9632342,14665038,16277416,17783933,17977115,15911580,32888066,38136928,94814766,113423981,120736307,13976334,16461950,10640484,13976334,15015822,17022029,15550051,12170524,26362931,80101427,121268103,129949759,12812260,31574494,22720738,18171381,12489264,13304744,12329363,10202098,19561645,50202394,125568181,131057926,8809248,26127005,29531101,40766303,38424522,35877079,48,3741994,2020428,1437998,361796,61990,48
23971,399.51666666666705,6.65861111111111,28783279,45669725,116007114,125026221,120736307,121268103,20173793,48232021,123407975,127201704,137814613,153091616,38424522,37850472,111889211,111889211,117049196,110872315,4658092,21640350,121801167,133850752,134976859,81814038,32359265,45354636,112911133,123946119,125568181,121268103,7398126,34774355,109356387,137244490,141262414,134413163,30543840,24279438,22285291,24734699,21005266,0,3322178,2418025,1089677,310653,33495,48,9773201,14491255,16277416,18171381,18366732,16093959,34501501,38713254,97633663,118096331,126111415,13806833,17210883,10938021,13976334,15015822,17022029,15550051,12812260,27317729,81384063,127748762,136675654,12489264,33689710,24734699,18959297,12650230,13139517,12170524,10788724,20380023,52214620,132729777,139532711,8543274,28783279,30799822,42875378,42875378,38136928,48,3829010,2084181,1437998,388837,61990,48
24871,414.51666666666705,6.90861111111111,29031437,44727916,120205779,131613929,129397593,127748762,20173793,46621916,127748762,131613929,140684556,158584645,40766303,38136928,117572132,117572132,123407975,121268103,4755328,21427561,126111415,140107989,141262414,91582206,34501501,46941623,119148524,130503203,132729777,129397593,7645301,35048340,112911133,147112126,148297622,150684206,32359265,25425874,23382148,28536236,22720738,0,3322178,2487814,1184223,310653,25933,48,9915114,14318544,16277416,18366732,18563167,16277416,35877079,39294135,98583195,123946119,131057926,13806833,17977115,11088376,13976334,15015822,17210883,15550051,13471039,28045494,80527759,133850752,142422005,12170524,35599701,26362931,19764604,12650230,12975355,12012749,11239789,21215866,53923547,141262414,147704225,8152161,31056925,32359265,45354636,45354636,44416284,48,3917045,2148939,1491742,388837,61990,48
25771,429.51666666666705,7.15861111111111,29280711,43796473,124485534,136675654,135541839,129949759,20173793,45040700,131057926,137244490,145343615,161682145,42875378,38136928,122335500,122871102,129397593,131613929,4755328,21427561,128846706,144756704,146521326,102430950,36435233,48557516,124485534,136675654,140107989,138386024,7896644,35323455,118621795,153696727,154910865,167975713,33154155,26362931,24506517,27559205,24053463,0,3322178,2487814,1282746,310653,25933,48,9353777,14146904,16277416,18760689,18959297,16277416,36997923,39294135,98583195,126655922,135541839,13806833,18366732,11545792,13806833,15015822,16834257,15730277,13976334,28536236,79676309,138386024,148297622,11700383,37565153,28290308,20380023,12650230,12812260,11856035,11700383,21854234,55311739,145343615,155519892,8023880,32888066,36435233,53923547,48884170,47584507,0,4006100,2148939,1602226,416858,61990,48
26671,444.51666666666705,7.40861111111111,29531101,42875378,129949759,143003740,142422005,134976859,19968653,43488293,132729777,143003740,149488313,164183779,43796473,37850472,125568181,127748762,136675654,144756704,4853590,21005266,132171212,147112126,150684206,109860442,38136928,48884170,128297096,141262414,147112126,147704225,8023880,34501501,121268103,157354818,161060021,179637091,32888066,27801793,25425874,30288977,25425874,0,3404108,2487814,1437998,310653,25933,48,9492534,13638402,16093959,18959297,18959297,16461950,37280970,39003125,96689085,128846706,139532711,13806833,18366732,11545792,13638402,14839894,16834257,15730277,14491255,28783279,77151043,142422005,153091616,11392261,38424522,29031437,20587345,12329363,12650230,11700383,11856035,22069214,55661716,148297622,161060021,7770451,34501501,35877079,54962934,54962934,53236472,48,4096175,2148939,1602226,416858,61990,48
27571,459.51666666666705,7.65861111111111,30035234,41964614,132729777,150085609,148892317,141841564,20173793,42875378,137814613,149488313,155519892,168612316,45669725,38136928,129949759,132729777,144171088,156130227,4952877,21215866,137814613,153091616,157354818,119148524,40174010,50534854,133289623,147112126,154910865,159201522,8411857,34774355,125026221,164183779,168612316,193787371,33689710,28290308,26127005,29782608,26838110,0,3404108,2487814,1716706,310653,25933,48,9353777,13638402,16093959,19158991,19359774,16647564,38136928,39294135,96218652,133289623,143003740,13638402,18760689,11856035,13471039,15015822,17022029,15730277,15192824,29531101,74669292,146521326,159201522,11088376,40469585,31056925,21427561,12489264,12650230,11392261,12329363,22720738,56365188,153696727,168612316,7645301,35877079,38424522,57786229,59953104,55311739,48,4187272,2214701,1716706,416858,61990,48
