#--- Do not edit. Generated automatically from SndRcv ---
#Time_sec,Time_min,Time_hour,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12
Time_sec,Time,Time_hour,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12
19471,324.516666666667,5.40861111111111,17731696,31935726,62276674,66672971,62585341,59535595,12771479,36638890,65400385,64769050,69584745,84431531,17573687,25806567,56860756,57449456,59235125,50599181,3105129,15292001,65084305,69584745,69257894,37338795,15145767,25041226,54538479,61355602,62585341,56860756,4300292,19022435,60138988,71231478,71563324,50599181,14711456,12243354,11097346,11221796,8979859,0,2107408,1566048,636840,191039,28025,33,6327774,10485878,11221796,11726802,11472858,10127608,18210165,24101591,57745029,61661805,66035025,9892343,9659939,6704768,9659939,10606735,11599469,10365738,6800772,16336183,49775601,65717292,69584745,9430393,17104091,11983633,10365738,8649434,9430393,8325404,5872295,10485878,30443862,67958798,67314228,6897478,13447953,15000265,20874890,16949035,13862561,33,2437131,1223378,855117,207106,34357,33
20371,339.516666666667,5.65861111111111,18210165,31720290,65084305,70240941,65717292,62894830,13039891,36176192,67958798,68282327,74248150,87736723,19187116,25614094,60441913,61050219,62894830,53966023,3105129,15145767,67958798,72899051,72563867,38045742,16184810,26388543,58935473,66035025,66672971,61050219,4376789,20021684,62894830,75268765,75268765,57154699,16184810,13175185,15292001,12505968,10009618,0,2054822,1566048,666037,191039,22338,33,6327774,10246315,11097346,11726802,11472858,10127608,19187116,24288006,59535595,64454619,68931875,9775784,10009618,6800772,9659939,10365738,11472858,10365738,7093001,16641136,51430002,68931875,72899051,9203701,18210165,12771479,10850603,8540714,9316690,8432704,6143483,11221796,31291732,72229518,71231478,6609467,14142607,16034173,22278923,19022435,16034173,33,2494457,1263870,888950,223826,41336,33
21271,354.51666666666705,5.90861111111111,18371135,31078609,66993185,72563867,68282327,65717292,13175185,35033093,68282327,70900466,78725399,91111063,19853281,24851786,62894830,63516275,65717292,58636638,2977543,14568148,68931875,74587517,75268765,40453228,16949035,26388543,61661805,68606686,70240941,64769050,4453977,20702755,63516275,77679577,78027342,62276674,16949035,13862561,12505968,13447953,10973615,0,2054822,1611898,666037,191039,22338,33,5961992,10009618,10850603,11599469,11599469,10246315,19518710,24288006,60138988,66035025,72229518,9544809,10009618,6994887,9430393,10009618,11221796,10246315,7291340,16488291,51430002,70900466,76641330,8979859,18371135,13175185,10973615,8432704,9091424,8325404,6143483,11854856,31078609,74587517,74927722,6327774,15000265,17573687,25231424,20531367,19022435,0,2437131,1263870,888950,223826,41336,33
22171,369.51666666666705,6.15861111111111,18532847,31078609,70570287,76296929,71896004,70900466,13311206,34132622,73571927,76296929,84068542,94554861,21923416,24851786,66993185,66993185,69584745,62894830,2977543,14568148,72229518,78375949,79426827,44469261,18371135,27573041,66035025,72899051,74587517,69584745,4610428,21570911,66993185,82266331,82984670,70240941,18210165,14568148,13311206,14568148,11854856,0,2160670,1611898,666037,207106,22338,33,6235279,9892343,10850603,11726802,11726802,10365738,20874890,24851786,61661805,71896004,76986571,9430393,10485878,6994887,9316690,10127608,11346967,10246315,7696482,17104091,52830824,75268765,82266331,8758865,19685623,14002219,11472858,8432704,8979859,8218813,6420971,12505968,32368915,79426827,80485301,6052388,16184810,18532847,26388543,23180841,21221403,33,2494457,1305030,923447,241199,41336,33
23071,384.51666666666705,6.40861111111111,18858497,30866257,73909620,80131632,76296929,76296929,13447953,33024496,78027342,80839815,87736723,98858728,23731028,25231424,70900466,70900466,73571927,68282327,3040994,14568148,75268765,82984670,85525598,48419028,19853281,28989683,70570287,77679577,78725399,74587517,4769647,22457803,69912427,86996271,89602800,79778807,19352541,15438968,14002219,15586669,12905322,0,2214607,1658420,695895,207106,22338,33,6420971,9775784,10850603,11854856,11983633,10606735,21923416,25422380,63205141,75610647,80485301,9316690,10973615,7093001,9316690,10009618,11346967,10365738,8112931,17573687,53396806,80839815,86627325,8540714,21047772,15145767,12113132,8325404,8869006,8218813,6800772,13039891,33465421,83706403,87366071,5872295,17416416,19685623,27175161,25614094,23915932,33,2494457,1346859,958608,241199,41336,33
23971,399.51666666666705,6.65861111111111,19187116,30443862,77332653,83345112,80485301,80839815,13447953,32151934,82266331,84795369,91870338,102054602,25614094,25231424,74587517,74587517,78027342,73909620,3105129,14425571,81195174,89227874,89978581,54538479,21570911,30233818,75268765,82625077,83706403,80839815,4931639,23180841,72899051,91490271,94168777,89602800,20360726,16184810,14855495,16488291,14002219,0,2214607,1611898,726415,207106,22338,33,6514868,9659939,10850603,12113132,12243354,10728310,22998953,25806567,65084305,78725399,84068542,9203701,11472858,7291340,9316690,10009618,11346967,10365738,8540714,18210165,54251846,85160058,91111063,8325404,22457803,16488291,12638361,8432704,8758865,8112931,7191818,13585428,34806810,88480590,93015689,5694996,19187116,20531367,28581104,28581104,25422380,33,2552462,1389357,958608,259226,41336,33
24871,414.51666666666705,6.90861111111111,19352541,29816037,80131632,87736723,86259231,85160058,13447953,31078609,85160058,87736723,93783554,105716485,27175161,25422380,78375949,78375949,82266331,80839815,3169947,14283724,84068542,93399191,94168777,61050219,22998953,31291732,79426827,86996271,88480590,86259231,5096405,23363483,75268765,98068429,98858728,100449723,21570911,16949035,15586669,19022435,15145767,0,2214607,1658420,789441,207106,17296,33,6609467,9544809,10850603,12243354,12374299,10850603,23915932,26193791,65717292,82625077,87366071,9203701,11983633,7391567,9316690,10009618,11472858,10365738,8979859,18695301,53681010,89227874,94941806,8112931,23731028,17573687,13175185,8432704,8649434,8007757,7492499,14142607,35946014,94168777,98463146,5434279,20702755,21570911,30233818,30233818,29608297,33,2611147,1432524,994435,259226,41336,33
25771,429.51666666666705,7.15861111111111,19518710,29195121,82984670,91111063,90355218,86627325,13447953,30024543,87366071,91490271,96889468,107781412,28581104,25422380,81551380,81908432,86259231,87736723,3169947,14283724,85891989,96498210,97674578,68282327,24288006,32368915,82984670,91111063,93399191,92251262,5263951,23546878,79075691,102457994,103267389,111976977,22100794,17573687,16336183,18371135,16034173,0,2214607,1658420,855117,207106,17296,33,6235279,9430393,10850603,12505968,12638361,10850603,24663102,26193791,65717292,84431531,90355218,9203701,12243354,7696482,9203701,10009618,11221796,10485878,9316690,19022435,53113411,92251262,98858728,7799533,25041226,18858497,13585428,8432704,8540714,7903291,7799533,14568148,36871410,96889468,103673392,5348767,21923416,24288006,35946014,32586669,31720290,0,2670511,1432524,1068083,277905,41336,33
26671,444.51666666666705,7.40861111111111,19685623,28581104,86627325,95329613,94941806,89978581,13311206,28989683,88480590,95329613,99652492,109449108,29195121,25231424,83706403,85160058,91111063,96498210,3235448,14002219,88108229,98068429,100449723,73235071,25422380,32586669,85525598,94168777,98068429,98463146,5348767,22998953,80839815,104896631,107366677,119750973,21923416,18532847,16949035,20190832,16949035,0,2269222,1658420,958608,207106,17296,33,6327774,9091424,10728310,12638361,12638361,10973615,24851786,25999799,64454619,85891989,93015689,9203701,12243354,7696482,9091424,9892343,11221796,10485878,9659939,19187116,51430002,94941806,102054602,7594137,25614094,19352541,13723630,8218813,8432704,7799533,7903291,14711456,37104712,98858728,107366677,5179831,22998953,23915932,36638890,36638890,35487996,33,2730555,1432524,1068083,277905,41336,33
27571,459.51666666666705,7.65861111111111,20021684,27973974,88480590,100050674,99255177,94554861,13447953,28581104,91870338,99652492,103673392,112401365,30443862,25422380,86627325,88480590,96107815,104080267,3301633,14142607,91870338,102054602,104896631,79426827,26780329,33687046,88853805,98068429,103267389,106127722,5607393,23180841,83345112,109449108,112401365,129184211,22457803,18858497,17416416,19853281,17890446,0,2269222,1658420,1144397,207106,17296,33,6235279,9091424,10728310,12771479,12905322,11097346,25422380,26193791,64141014,88853805,95329613,9091424,12505968,7903291,8979859,10009618,11346967,10485878,10127608,19685623,49775601,97674578,106127722,7391567,26977364,20702755,14283724,8325404,8432704,7594137,8218813,15145767,37573661,102457994,112401365,5096405,23915932,25614094,38520957,39965442,36871410,33,2791280,1476362,1144397,277905,41336,33
