#--- Do not edit. Generated automatically from fig15i ---
#Time_sec,Time_min,Time_hr,A7: Amp+,LB_only,H4: 631X+261x_medium,no_phages,A10: Amp+,631X+261x_medium=3/5,H5: 631+261X,no_phages,B10: Amp+,631+261x_medium=3/5,H6: 631∆G3P+261X,no_phages,C10: Amp+,631∆G3P+261x_medium=3/5,H7: 631∆G3P+Kanϕ_medium,no_phages,D10: Amp+,631∆G3P+Kanϕ_medium=3/5,H8: 631+Kanϕ,unfiltered-50kDa_medium,no_phages,E10: Amp+,631+Kanϕ,unfiltered-50kDa,medium=3/5,H9: 631+Kanϕ,filtered-50kDa,medium,no_phages,F10: Amp+,631+Kanϕ,filtered-50kDa,medium=3/5,H10: 631+_phagemid_carrying_the_G3P,no_phages,G10: Amp+,631+phagemid,medium=3/5
Time_sec,Time,Time_hr,A7,H4,A10,H5,B10,H6,C10,H7,D10,H8,E10,H9,F10,H10,G10
25160,419.333333333333,6.988888888889001,4913,23655248,15353,29110769,11229,19616798,15353,30779433,11229,73772122,15353,28497676,15353,12059459,11229
26060,434.333333333333,7.238888888889001,2720,24398179,11229,29938957,11229,19952256,15353,31847353,11229,78583165,11229,29730759,15353,12059459,11229
26960,449.333333333333,7.488888888889001,4913,24963314,11229,30991476,7749,20461036,20122,33154333,11229,83198448,15353,31847353,15353,12189387,11229
27860,464.333333333333,7.738888888889001,4913,25343857,11229,31847353,11229,20803956,25536,33818273,11229,86477573,11229,33374871,15353,12320038,11229
28760,479.333333333333,7.988888888889001,4913,25920360,11229,32715579,11229,21323943,38300,34489194,11229,90202018,15353,34714388,15353,12451414,11229
29660,494.333333333333,8.238888888889,4913,26114046,11229,33154333,11229,21498769,71589,34489194,11229,93627232,15353,35622943,15353,12451414,11229
30560,509.333333333333,8.488888888889,4913,26114046,11229,33374871,11229,21498769,115247,34714388,11229,97514769,11229,36312538,15353,12583513,11229
31460,524.333333333333,8.738888888889,4913,26114046,15353,33374871,11229,21498769,216680,34041137,11229,99093967,15353,36776170,15353,12716336,11229
32360,539.333333333333,8.988888888889,4913,25727433,11229,32934569,11229,21149866,394114,33596184,11229,102293973,11229,36543964,15353,12849885,11229
33260,554.333333333333,9.238888888889,4913,25343857,15353,32279920,11229,20803956,808178,32497363,11229,104730493,15353,36312538,15353,13119159,11229
34160,569.333333333333,9.488888888889,4913,24585801,15353,31204289,11229,20121104,1592565,31204289,11229,108444179,15353,35394636,15353,13254885,11229
35060,584.333333333333,9.738888888889,4913,23839848,15353,30357657,11229,19616798,3014365,29730759,11229,110117467,11229,34714388,15353,13666424,11229
35960,599.333333333333,9.988888888889,4913,23105973,20122,29316665,11229,19119192,5658422,28497676,11229,112653741,15353,33818273,15353,14084515,11229
36860,614.333333333333,10.238888888889,4913,22205571,20122,28294842,11229,18466123,9269736,26896394,11229,114791509,15353,33154333,15353,14652180,11229
37760,629.333333333333,10.488888888889,7749,21498769,25536,27093884,11229,17824919,12849885,25727433,15353,117385958,15353,32715579,15353,15378210,11229
38660,644.333333333333,10.738888888889,11229,20803956,31595,25920360,11229,17508758,15972226,24774179,11229,120012269,15353,32279920,15353,16122565,11229
39560,659.333333333333,10.988888888889,15353,20290697,62296,24963314,11229,17040058,19284317,23655248,15353,122225268,15353,32063250,20122,17040058,11229
40460,674.333333333333,11.238888888889,31595,19784154,115247,24025203,11229,16885301,21674345,22924388,15353,124011680,15353,32279920,20122,18466123,11229
41360,689.333333333333,11.488888888889,53650,19450185,269934,23288311,11229,16577998,23655248,22205571,15353,125360849,15353,32497363,25536,19952256,15353
42260,704.333333333333,11.738888888889,115247,19119192,596472,22743556,11229,16577998,24963314,21498769,20122,126718052,15353,32934569,25536,21674345,11229
43160,719.333333333333,11.988888888889,251530,18954811,1287649,22205571,11229,16577998,26114046,21149866,25536,128997943,15353,33596184,38300,24025203,15353
44060,734.333333333333,12.238888888889,568871,18628277,2586489,21850670,11229,16577998,27891469,20632123,31595,129456608,15353,34489194,53650,26699665,15353
44960,749.333333333333,12.488888888889,1287649,18628277,4736214,21498769,11229,16731281,29110769,20461036,45652,132227443,15353,35167109,81530,29110769,20122
45860,764.333333333333,12.738888888889,2705334,18628277,7653872,21149866,11229,16885301,31847353,20121104,71589,134561195,20122,36081893,127784,32279920,20122
46760,779.333333333333,12.988888888889,4979387,18954811,11674009,21149866,11229,17351786,35622943,19952256,127784,136444417,25536,37242928,233778,35167109,25536
47660,794.333333333333,13.238888888889,7653872,18954811,16731281,20803956,11229,17824919,39623711,19784154,233778,137866313,38300,37948931,417106,38661984,31595
48560,809.333333333333,13.488888888889,10078616,19284317,22743556,20803956,11229,18304711,43089022,19616798,465062,138342087,53650,38901238,808178,42333421,45652
49460,824.333333333333,13.738888888889,13119159,19784154,29938957,20803956,11229,18954811,45920664,19784154,979279,139774838,103359,39623711,1502095,46182860,62296
50360,839.333333333333,13.988888888889,16273640,20461036,37242928,20803956,11229,19784154,49119746,19784154,1930387,140734534,184442,40843567,2826902,49664138,92120
51260,854.333333333333,14.238888888889,18144040,21149866,42584496,20976537,15353,20803956,51594827,19952256,3970613,142180881,371778,42083137,5228807,53565015,154811
52160,869.333333333333,14.488888888889,19119192,21850670,49119746,21149866,15353,22027745,53281136,20121104,7249884,143149653,775949,43342474,8388070,57034792,251530
53060,884.333333333333,14.738888888889,19784154,22924388,57034792,21498769,20122,23471403,56448374,20461036,10556576,143635402,1638808,44621632,11420651,60926045,417106
53960,899.333333333333,14.988888888889,20632123,23839848,61843666,21850670,25536,24963314,57624467,20976537,14084515,143635402,3273874,45920664,14940396,64013537,653653
54860,914.333333333333,15.238888888889,22563476,25153207,69125094,22205571,31595,27093884,59714025,21498769,17508758,144609628,5924559,47239623,17666469,65905557,1052372
55760,929.333333333333,15.488888888889,25153207,26699665,74110314,22563476,53650,29730759,61536972,22205571,20461036,144609628,9269736,48309174,20290697,68474553,1733308
56660,944.333333333333,15.738888888889,30568161,28294842,79283914,23105973,81530,32063250,63078657,23105973,22924388,145587496,12849885,49664138,22205571,69125094,2705334
57560,959.333333333333,15.988888888889,35167109,30568161,88329116,23839848,140972,34041137,64326811,24398179,24585801,145587496,16731281,51039178,23839848,70765992,4344779
58460,974.333333333333,16.238888888889,40598020,32715579,95171899,24398179,233778,36081893,68474553,25920360,25920360,145587496,20803956,52153701,25535266,72762562,6570026
59360,989.333333333333,16.488888888889,45659265,35167109,100287461,25343857,417106,37948931,70436148,27690928,27690928,146077796,24025203,53849703,27292136,74789212,9960918
60260,1004.3333333333301,16.73888888889,51039178,37948931,103914836,26114046,775949,40353262,72427714,29938957,29938957,145587496,27093884,54996554,29938957,76846033,14084515
61160,1019.3333333333301,16.98888888889,55574846,40353262,106784910,27093884,1414308,43089022,74110314,32497363,32279920,145587496,29523328,56448374,31847353,78583165,18791173
62060,1034.33333333333,17.23888888889,61536972,42836363,110959376,28497676,2470362,44879846,76157068,35622943,35394636,145098107,32063250,57624467,35622943,79635554,22563476
62960,1049.33333333333,17.48888888889,67827333,45398662,113506204,29730759,4193043,48309174,76501131,39141277,38901238,144609628,33818273,58813600,38901238,81050559,26114046
63860,1064.33333333333,17.73888888889,73434766,47772798,116951339,30991476,7052121,51594827,77191777,43596718,42584496,144609628,36312538,60318397,42083137,83198448,29730759
64760,1079.33333333333,17.98888888889,79635554,49937538,119572334,32279920,10922579,53565015,77191777,48040586,45138857,144122060,40109291,62151181,45920664,85376877,32063250
65660,1094.33333333333,18.23888888889,85742925,52153701,124011680,34041137,15085601,56741176,77191777,52434348,48040586,143149653,42333421,64013537,48309174,87215631,34714388
66560,1109.33333333333,18.48888888889,93627232,54421508,127627323,36081893,19119192,61231098,76501131,57624467,50486749,143149653,44364212,64955833,51873861,89450291,37477479
67460,1124.33333333333,18.73888888889,101087460,56448374,130837985,38185831,22563476,65271582,75471462,62459518,52715803,142180881,45920664,66862719,55574846,91336032,40109291
68360,1139.33333333333,18.98888888889,108444179,58515093,134092643,40598020,26308492,68474553,74110314,67504966,54996554,141697858,48309174,68799408,58515093,94012108,43342474
69260,1154.33333333333,19.23888888889,116951339,60318397,137391444,43596718,29938957,72762562,72427714,72762562,57034792,141215742,49937538,70107137,62151181,97122132,47239623
70160,1169.33333333333,19.48888888889,124460511,62459518,140734534,46445853,32279920,76846033,70765992,78234055,57920527,139774838,52434348,71760523,65905557,99490932,51594827
71060,1184.33333333333,19.73888888889,130837985,64326811,144122060,49937538,34940359,81406424,68150528,85011681,60318397,139296349,54996554,73098246,69451610,100687026,55865209
71960,1199.33333333333,19.98888888889,137866313,66223784,148048117,53565015,37948931,85376877,65905557,94012108,62151181,138342087,57624467,75129918,73098246,101890933,59714025
72860,1214.33333333333,20.23888888889,144122060,68474553,151031004,57034792,41337026,89825726,63389460,103102663,63389460,137866313,60318397,76846033,77191777,103102663,62768676
73760,1229.33333333333,20.48888888889,150033050,70436148,155059489,60621811,45138857,95171899,60621811,106784910,64640909,136444417,62768676,78234055,81050559,103508314,66542838
74645,1244.08333333333,20.73472222222,155059489,72427714,158632666,64640909,47772798,97122132,58217402,112228830,65905557,135501001,65905557,79988038,82838348,104322229,70107137
75545,1259.08333333333,20.98472222222,161731350,74789212,162771638,68799408,49937538,100687026,55865209,116517605,66862719,134561195,69451610,81763134,83559396,104730493,73772122
76445,1274.08333333333,21.23472222222,166969851,76501131,165914732,73098246,52998065,103914836,53565015,119133286,67183429,134092643,73098246,83198448,83921193,106372279,76846033
77345,1289.08333333333,21.48472222222,173918861,78933118,170157520,77538361,54135200,105960523,51316600,121780890,66862719,133624993,77191777,84283839,83559396,107198415,79635554
78245,1304.08333333333,21.73472222222,180473502,81406424,173918861,82479096,56156385,108028049,49664138,124910234,66862719,133624993,81406424,85742925,83921193,108861186,82838348
79145,1319.08333333333,21.98472222222,186039042,83559396,177725999,90202018,57920527,111381648,48309174,127172240,67183429,132227443,86477573,86477573,83921193,110117467,85742925
80045,1334.08333333333,22.23472222222,191128727,85376877,181025820,95560220,58813600,113506204,47239623,130376629,66542838,132227443,91336032,87585939,83921193,111381648,87957101
83321,1388.68333333333,23.14472222222,196295189,85376877,183244498,98302637,62459518,116084756,44364212,134092643,63389460,125812356,97908270,86846176,81050559,113506204,89450291
84221,1403.68333333333,23.39472222222,200952304,89825726,191128727,100687026,64955833,118257850,44107587,135030647,62151181,127627323,103508314,88329116,79988038,115221708,92477767
85121,1418.68333333333,23.64472222222,203303771,91715752,193989485,103508314,66223784,120894803,43342474,137391444,60318397,127172240,108444179,90202018,78933118,116517605,94784441
